,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synonyms,German,Spanish,French,Genre,Theme
48,2021,spring,Uchuu Nanchara Kotetsu-kun,Space Academy,https://cdn.myanimelist.net/images/anime/1226/112286.jpg,宇宙なんちゃらこてつくん,Space Academy,TV,64,Finished Airing,"Apr 7, 2021 to Feb 23, 2023",Spring 2021,Thursdays at 18,"None found, add some","None found, add some",Fanworks,Web manga,"ComedyComedy,         Sci-FiSci-Fi",,,9 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#150872

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#14749,873,3,,,,,,SpaceSpace
49,2021,spring,Hyper Positive Yogoremon,,https://cdn.myanimelist.net/images/anime/1395/114474.jpg,ハイパーボジティブよごれモン,,TV,12,Finished Airing,"Apr 18, 2021 to Jul 2, 2021",Spring 2021,Unknown,"Fuji TV,       Bandai","None found, add some",FIREBUG,Original,,,,2 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#214282

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#16759,527,3,,,,,ComedyComedy,
50,2021,spring,Utau Soccer Panda Mifanda,,https://cdn.myanimelist.net/images/anime/1296/108533.jpg,歌うサッカーパンダ ミファンダ,,TV,12,Finished Airing,"Apr 2, 2021 to Sep 9, 2021",Spring 2021,Fridays at 03,"None found, add some","None found, add some","None found, add some",Other,,,,7 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#151532

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#16976,505,1,,,,,Slice of LifeSlice of Life,MusicMusic
51,2021,spring,Ma-eum-uisoli Season 3,The Sound of Your Heart: Season 3,https://cdn.myanimelist.net/images/anime/1655/120892.jpg,마음의 소리 시즌 3,The Sound of Your Heart,TV,22,Finished Airing,"May 5, 2021 to Sep 29, 2021",Spring 2021,Wednesdays at Unknown,"None found, add some","None found, add some","None found, add some",Web manga,"ComedyComedy,         Slice of LifeSlice of Life",,,Unknown,PG-13 - Teens 13 or older,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#174272

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#20689,244,2,,,,,,
52,2021,spring,One Piece,,https://cdn.myanimelist.net/images/anime/1244/138851.jpg,ONE PIECE,One Piece,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,Sundays at 09,"Fuji TV,       TAP,       Shueisha","Funimation,       4Kids Entertainment",Toei Animation,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,ShounenShounen,24 min.,PG-13 - Teens 13 or older,"8.731 (scored by 14167841,416,784 users)
      


1
          indicates a weighted score.","#502

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#17,"2,491,944","234,234",OP,,,,,
53,2021,spring,Boruto: Naruto Next Generations,,https://cdn.myanimelist.net/images/anime/1091/99847.jpg,BORUTO -NARUTO NEXT GENERATIONS-,Boruto,TV,293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",Spring 2017,Sundays at 17,"TV Tokyo,       Aniplex,       Rakuonsha,       Shueisha",VIZ Media,Pierrot,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"6.001 (scored by 456508456,508 users)
      


1
          indicates a weighted score.","#99122

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#208,"894,492","7,375",,,,,,Martial ArtsMartial Arts
54,2021,spring,"Kumo desu ga, Nani ka?","So I'm a Spider, So What?",https://cdn.myanimelist.net/images/anime/1593/113724.jpg,蜘蛛ですが、なにか？,"So I'm a Spider, So What?",TV,24,Finished Airing,"Jan 8, 2021 to Jul 3, 2021",Winter 2021,Fridays at 21,"Movic,       AT-X,       Sammy,       Crunchyroll,       Kadokawa Media House,       NTT Plala,       Kadokawa","None found, add some",Millepensee,Light novel,"ActionAction,         AdventureAdventure,         ComedyComedy,         FantasyFantasy","IsekaiIsekai,         ReincarnationReincarnation",,23 min. per ep.,PG-13 - Teens 13 or older,"7.451 (scored by 250373250,373 users)
      


1
          indicates a weighted score.","#21542

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#502,"473,394","4,597",,"So I'm a Spider, So What?","So I'm a Spider, So What?","So I'm a Spider, So What?",,
55,2021,spring,Nanatsu no Taizai: Funnu no Shinpan,The Seven Deadly Sins: Dragon's Judgement,https://cdn.myanimelist.net/images/anime/1011/111551.jpg,七つの大罪 憤怒の審判,The Seven Deadly Sins,TV,24,Finished Airing,"Jan 13, 2021 to Jun 23, 2021",Winter 2021,Wednesdays at 17,TV Tokyo,"None found, add some",Studio Deen,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"6.571 (scored by 215880215,880 users)
      


1
          indicates a weighted score.","#66732

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#533,"451,468","1,582",Nanatsu no Taizai,,,,,
56,2021,spring,Meitantei Conan,Case Closed,https://cdn.myanimelist.net/images/anime/7/75199.jpg,名探偵コナン,Case Closed,TV,Unknown,Currently Airing,"Jan 8, 1996 to ?",Winter 1996,Saturdays at 18,"Yomiuri Telecasting,       Shogakukan,       Audio Planning U,       Tokyo Movie,       Polydor Records","Funimation,       Crunchyroll",TMS Entertainment,Manga,"AdventureAdventure,         ComedyComedy,         MysteryMystery",,ShounenShounen,24 min.,PG-13 - Teens 13 or older,"8.171 (scored by 164197164,197 users)
      


1
          indicates a weighted score.","#4352

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#703,"360,470","15,311",Detective Conan,Case Closed,,,,DetectiveDetective
57,2021,spring,Kingdom 3rd Season,Kingdom: Season 3,https://cdn.myanimelist.net/images/anime/1443/111830.jpg,キングダム 第3シリーズ,Kingdom,TV,26,Finished Airing,"Apr 6, 2020 to Oct 17, 2021",Spring 2020,Mondays at 00,Shueisha,Funimation,"Pierrot,       Studio Signpost",Manga,,"HistoricalHistorical,         MilitaryMilitary",SeinenSeinen,25 min. per ep.,R - 17+ (violence & profanity),"8.831 (scored by 4576645,766 users)
      


1
          indicates a weighted score.","#302

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2033,"113,997","2,347",,,,,ActionAction,
58,2021,spring,Crayon Shin-chan,Shin Chan,https://cdn.myanimelist.net/images/anime/10/59897.jpg,クレヨンしんちゃん,Shin Chan,TV,Unknown,Currently Airing,"Apr 13, 1992 to ?",Spring 1992,Fridays at 19,TV Asahi,Funimation,Shin-Ei Animation,Manga,"ComedyComedy,         EcchiEcchi",,SeinenSeinen,21 min.,G - All Ages,"7.801 (scored by 4214242,142 users)
      


1
          indicates a weighted score.","#10282

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2398,"87,940","1,329",,Shin Chan,Shin Chan,,,SchoolSchool
59,2021,spring,Dragon Quest: Dai no Daibouken (2020),Dragon Quest: The Adventure of Dai,https://cdn.myanimelist.net/images/anime/1499/109126.jpg,ドラゴンクエスト ダイの大冒険,Dragon Quest,TV,100,Finished Airing,"Oct 3, 2020 to Oct 22, 2022",Fall 2020,Saturdays at 09,"TV Tokyo,       Square Enix,       Shueisha","None found, add some",Toei Animation,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.731 (scored by 2596225,962 users)
      


1
          indicates a weighted score.","#12182

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2613,"76,566",644,Dragon Quest,Dragon Quest,Dragon Quest,Dragon Quest,,
60,2021,spring,Back Arrow,,https://cdn.myanimelist.net/images/anime/1373/111546.jpg,バック・アロウ,Back Arrow,TV,24,Finished Airing,"Jan 9, 2021 to Jun 19, 2021",Winter 2021,Saturdays at 00,"Aniplex,       Movic,       BS11,       ABC Animation,       Legs,       Bandai Spirits",Funimation,Studio VOLN,Original,"ActionAction,         FantasyFantasy",,,23 min. per ep.,R+ - Mild Nudity,"6.331 (scored by 1430414,304 users)
      


1
          indicates a weighted score.","#80742

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3597,"43,269",103,,,,,,MechaMecha
61,2021,spring,Maiko-san Chi no Makanai-san,Kiyo in Kyoto: From the Maiko House,https://cdn.myanimelist.net/images/anime/1355/111545.jpg,舞妓さんちのまかないさん,Kiyo in Kyoto,TV,12,Finished Airing,"Feb 25, 2021 to Jan 27, 2022",Winter 2021,Thursdays at 08,"NHK,       NHK Enterprises","None found, add some",J.C.Staff,Manga,"GourmetGourmet,         Slice of LifeSlice of Life","EducationalEducational,         IyashikeiIyashikei,         WorkplaceWorkplace",ShounenShounen,25 min. per ep.,PG-13 - Teens 13 or older,"7.031 (scored by 47014,701 users)
      


1
          indicates a weighted score.","#42532

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5166,"19,674",68,The caterer at the Maiko Manor,Kiyo in Kyoto,Kiyo in Kyoto,Kiyo in Kyoto,,
62,2021,spring,Yu☆Gi☆Oh! Sevens,Yu-Gi-Oh! Sevens,https://cdn.myanimelist.net/images/anime/1148/106883.jpg,遊☆戯☆王 SEVENS,Yu-Gi-Oh! Sevens,TV,92,Finished Airing,"Apr 4, 2020 to Mar 27, 2022",Spring 2020,Saturdays at 07,"TV Tokyo,       Konami,       Shueisha,       Konami Cross Media NY","None found, add some",Bridge,Card game,"ActionAction,         FantasyFantasy",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"6.201 (scored by 49084,908 users)
      


1
          indicates a weighted score.","#88642

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5260,"18,794",88,Yuu Gi Ou!,,,,,Strategy GameStrategy Game
63,2021,spring,Tropical-Rouge! Precure,Tropical-Rouge! Pretty Cure,https://cdn.myanimelist.net/images/anime/1184/110907.jpg,トロピカル～ジュ！プリキュア,Tropical-Rouge! Pretty Cure,TV,46,Finished Airing,"Feb 28, 2021 to Jan 30, 2022",Winter 2021,Sundays at 08,"ABC Animation,       ADK Emotions","None found, add some",Toei Animation,Original,,,,24 min. per ep.,G - All Ages,"7.391 (scored by 45434,543 users)
      


1
          indicates a weighted score.","#23982

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5864,"14,126",147,,TROPICAL-ROUGE! PRETTY CURE,TROPICAL-ROUGE! PRETTY CURE,TROPICAL-ROUGE! PRETTY CURE,ActionAction,Mahou ShoujoMahou Shoujo
64,2021,spring,Sazae-san,Mrs. Sazae,https://cdn.myanimelist.net/images/anime/1008/98996.jpg,サザエさん,Mrs. Sazae,TV,Unknown,Currently Airing,"Oct 5, 1969 to ?",Fall 1969,Sundays at 18,Fuji TV,"None found, add some",Eiken,4-koma manga,"ComedyComedy,         Slice of LifeSlice of Life",,,24 min.,G - All Ages,"6.141 (scored by 19341,934 users)
      


1
          indicates a weighted score.","#91842

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7123,"8,791",39,,,,,,
65,2021,spring,D4DJ Petit Mix,,https://cdn.myanimelist.net/images/anime/1089/113814.jpg,ぷっちみく♪,D4DJ Petit Mix,TV,26,Finished Airing,"Feb 5, 2021 to Jul 30, 2021",Winter 2021,Fridays at 23,"None found, add some","None found, add some","W-Toon Studio,       DMM.futureworks",Mixed media,,,,3 min. per ep.,PG-13 - Teens 13 or older,"6.981 (scored by 30183,018 users)
      


1
          indicates a weighted score.","#44742

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7611,"7,389",27,Pucchimiku D4DJ Petit Mix,,,,ComedyComedy,MusicMusic
66,2021,spring,Chibi Maruko-chan (1995),Little Miss Maruko,https://cdn.myanimelist.net/images/anime/1108/100604.jpg,ちびまる子ちゃん,Little Miss Maruko,TV,Unknown,Currently Airing,"Jan 8, 1995 to ?",Winter 1995,Sundays at 18,"Ajia-do,       Fuji TV,       Sakura Production","None found, add some",Nippon Animation,Manga,,,ShoujoShoujo,23 min.,G - All Ages,"7.341 (scored by 21732,173 users)
      


1
          indicates a weighted score.","#26382

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7913,"6,750",61,Maruko-chan,,Chibi Maruko-chan,,ComedyComedy,SchoolSchool
67,2021,spring,Rebirth,,https://cdn.myanimelist.net/images/anime/1640/115820.jpg,りばあす,,TV,48,Finished Airing,"Jan 5, 2020 to Jun 23, 2021",Winter 2020,Wednesdays at 01,LIDENFILMS,"None found, add some",LIDENFILMS Osaka Studio,Card game,,,,3 min. per ep.,PG-13 - Teens 13 or older,"5.841 (scored by 937937 users)
      


1
          indicates a weighted score.","#107232

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#9188,"4,582",3,,,,,ComedyComedy,Strategy GameStrategy Game
68,2021,spring,Aikatsu Planet!,,https://cdn.myanimelist.net/images/anime/1319/111189.jpg,アイカツプラネット！,,TV,24,Finished Airing,"Jan 10, 2021 to Jun 27, 2021",Winter 2021,Sundays at 07,Sunrise Music,"None found, add some",Bandai Namco Pictures,Game,,"Idols (Female)Idols (Female),         MusicMusic,         SchoolSchool",,10 min. per ep.,PG - Children,"6.551 (scored by 12641,264 users)
      


1
          indicates a weighted score.","#67832

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#9406,"4,256",27,,,,,Slice of LifeSlice of Life,
69,2021,spring,Bonobono (TV 2016),Bono Bono,https://cdn.myanimelist.net/images/anime/13/77617.jpg,ぼのぼの,Bono Bono,TV,Unknown,Currently Airing,"Apr 2, 2016 to ?",Spring 2016,Saturdays at 04,"Fuji TV,       Glovision","None found, add some",Eiken,4-koma manga,"ComedyComedy,         Slice of LifeSlice of Life",,,5 min.,G - All Ages,"6.371 (scored by 759759 users)
      


1
          indicates a weighted score.","#78892

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#10226,"3,275",19,,Bono Bono,Bono Bono,Bono Bono,,AnthropomorphicAnthropomorphic
70,2021,spring,Kiratto Pri☆chan Season 3,,https://cdn.myanimelist.net/images/anime/1500/105552.jpg,キラッとプリ☆チャン シーズン3,,TV,51,Finished Airing,"Apr 5, 2020 to May 30, 2021",Spring 2020,Sundays at 10,syn Sophia,"None found, add some",Tatsunoko Production,Game,,"Idols (Female)Idols (Female),         MusicMusic",,24 min. per ep.,PG - Children,"7.231 (scored by 972972 users)
      


1
          indicates a weighted score.","#32122

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#10519,"3,008",11,Kiratto Pri☆chan 3rd Season,,,,ComedyComedy,
71,2021,spring,Okashi na Sabaku no Suna to Manu,,https://cdn.myanimelist.net/images/anime/1208/111257.jpg,おかしなさばくのスナとマヌ,,TV,50,Finished Airing,"Feb 14, 2021 to Feb 2, 2022",Winter 2021,Sundays at 03,CHANCE iN,"None found, add some",Kachidoki Studio,Manga,,,,1 min. per ep.,PG - Children,"5.711 (scored by 227227 users)
      


1
          indicates a weighted score.","#113232

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#12330,"1,729",6,,,,,ComedyComedy,
72,2021,spring,Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season,,https://cdn.myanimelist.net/images/anime/1097/108552.jpg,せいぜいがんばれ！魔法少女くるみ,,TV,25,Finished Airing,"Oct 7, 2020 to Sep 29, 2021",Fall 2020,Wednesdays at 23,Lantis,"None found, add some",Pie in the sky,Original,,"Mahou ShoujoMahou Shoujo,         ParodyParody",,4 min. per ep.,G - All Ages,"6.301 (scored by 153153 users)
      


1
          indicates a weighted score.","#82712

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#13185,"1,333",2,,,,,,
73,2021,spring,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,,https://cdn.myanimelist.net/images/anime/6/72182.jpg,紙兎ロペ 〜笑う朝には福来たるってマジっすか!?,,TV,Unknown,Currently Airing,"Nov 16, 2012 to ?",Fall 2012,Not scheduled once per week,"None found, add some","None found, add some","None found, add some",Original,"ComedyComedy,         Slice of LifeSlice of Life",,,2 min.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#167992

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#13282,"1,294",0,Kamiusagi Rope 4,,,,,
74,2021,spring,Shiawase Haitatsu Taneko,,https://cdn.myanimelist.net/images/anime/2/28900.jpg,しあわせ配達おみくじタネコ,,TV,Unknown,Currently Airing,"Mar 26, 2011 to ?",Spring 2011,Not scheduled once per week,"None found, add some","None found, add some",Kachidoki Studio,Original,,,,Unknown,None,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#141742

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#14312,980,4,,,,,ComedyComedy,
75,2021,spring,Kaoru no Taisetsu na Mono,,https://cdn.myanimelist.net/images/anime/1352/109736.jpg,カオルの大切なモノ,,TV,50,Finished Airing,"Nov 18, 2020 to Oct 27, 2021",Fall 2020,Wednesdays at 23,CHANCE iN,"None found, add some",Kachidoki Studio,Original,,,,1 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#168212

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#15752,658,0,,,,,ComedyComedy,
76,2021,spring,Manul no Yuube,,https://cdn.myanimelist.net/images/anime/1980/96936.jpg,マヌ～ルのゆうべ,,TV,Unknown,Currently Airing,"Nov 11, 2018 to ?",Fall 2018,Sundays at Unknown,NHK,"None found, add some","None found, add some",Web manga,,,,1 min.,PG-13 - Teens 13 or older,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#175272

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#15779,654,1,,,,,Slice of LifeSlice of Life,
77,2021,spring,Shin Nippon History,,https://cdn.myanimelist.net/images/anime/1433/134811.jpg,新ニッポンヒストリー,,TV,Unknown,Currently Airing,"Jan 6, 2020 to ?",Winter 2020,Mondays at 01,"None found, add some","None found, add some","None found, add some",Original,,,,23 min.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#142292

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#18532,377,0,Shin Nippon History,,,,ComedyComedy,HistoricalHistorical
78,2021,spring,Kintamani Dog,,https://cdn.myanimelist.net/images/anime/1815/120757.jpg,キンタマーニドッグ,,TV,50,Finished Airing,"Jan 14, 2021 to Dec 26, 2021",Winter 2021,Unknown,"None found, add some","None found, add some",Kachidoki Studio,Original,,,,1 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#169512

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#20666,245,0,,,,,Slice of LifeSlice of Life,
79,2021,spring,In:App,,https://cdn.myanimelist.net/images/anime/1671/139079.jpg,인앱,,TV,56,Finished Airing,"Nov 21, 2020 to Dec 18, 2021",Fall 2020,Unknown,"None found, add some","None found, add some",ANYZAC,Original,"ActionAction,         ComedyComedy",,,7 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#214802

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#23685,117,0,,,,,,AnthropomorphicAnthropomorphic
